"Mon","Mon"
"Tue","Tue"
"Wed","Wed"
"Thu","Thu"
"Fri","Fri" 
"Sat","Sat"
"Sun","Sun"

"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday" 
"Saturday","Saturday"
"Sunday","Sunday"

"January","January"
"Februar","Februar"
"March","March"
"April","April"
"May","May"
"June","June"
"Jully","Jully"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"

"Your pickup time: ","Your pickup time: "
"Your pickup date: ","Your pickup date: "
"Pickup Date/time","Pickup Date/time"

"Prefered day","Prefered day"
"Prefered time","Prefered time"

"Today","Today"